path,sigma_px,offset_px,distance_px,x,y,red,green,blue,saturation,value
B,0,2,3.47308923452298,115.17829551063764,302.4414721948079,64.57014830344255,113.69891414385928,128.05550516513455,0.49576437014421343,128.05550516513455
B,0,2,3.7211670369889074,115.42419714998191,302.4742590800538,64.49008607208313,111.42887538243826,126.27726968240208,0.48929774745462024,126.27726968240208
B,0,2,3.9692448394548343,115.67009878932616,302.5070459652997,64.61964491032876,109.41683178360816,124.7570293622605,0.48203604044874393,124.7570293622605
B,0,2,4.217322641920761,115.91600042867043,302.5398328505456,64.95882481817937,107.66278334736872,123.49478420470959,0.4739953979716165,123.49478420470959
B,0,2,4.465400444386688,116.1619020680147,302.57261973579153,64.27620314485758,105.79049694081348,121.95239900882818,0.47294023186698775,121.95239900882818
B,0,2,4.713478246852616,116.40780370735895,302.60540662103745,62.776556337883136,103.5531452158063,119.96094892316525,0.4766917325896497,119.96094892316525
B,0,2,4.961556049318543,116.65370534670322,302.6381935062833,61.01891436831714,101.0577983282075,117.71150367491069,0.4816231849621435,117.71150367491069
B,0,2,5.20963385178447,116.89960698604747,302.6709803915292,59.003277236161374,98.30445627801896,115.20406326406643,0.48783683869798694,115.20406326406643
B,0,2,5.457711654250398,117.14550862539174,302.7037672767751,59.499790536507966,99.21113828713244,116.0656296617407,0.48736080862256176,116.0656296617407
B,0,2,5.7057894567163245,117.39141026473601,302.73655416202104,61.77788925639996,102.65287653090483,119.26146626616884,0.481996229037437,119.26146626616884
B,0,2,5.9538672591822515,117.63731190408026,302.76934104726695,63.9592397903203,105.94949249571974,122.31218059163947,0.4770820086687902,122.31218059163947
B,0,2,6.201945061648178,117.88321354342453,302.8021279325128,66.04384213826917,109.10098618157761,125.21777263815308,0.47256814470643266,125.21777263815308
B,0,2,6.450022864114105,118.12911518276879,302.8349148177587,68.00915613486522,112.62381831955315,128.36558795401558,0.4701916828423818,128.36558795401558
B,0,2,6.698100666580033,118.37501682211305,302.8677017030046,69.79585588869023,116.46867400487349,131.71864036064738,0.47011405752755836,131.71864036064738
B,0,2,6.94617846904596,118.62091846145731,302.90048858825054,71.40518396823396,120.16840741123627,134.92657048832166,0.4707848594253397,134.92657048832166
B,0,2,7.194256271511887,118.86682010080158,302.93327547349645,72.83714037349664,123.72301853864198,137.98937833703883,0.47215400742228114,137.98937833703883
B,0,2,7.442334073977815,119.11272174014584,302.96606235874236,73.59110651416768,127.52601169798864,141.6425589481135,0.48044495199267356,141.6425589481135
B,0,2,7.690411876443742,119.3586233794901,302.9988492439882,73.72907969908997,131.82517715439377,146.18421322189377,0.4956426684242832,146.18421322189377
B,0,2,7.938489678909669,119.60452501883437,303.03163612923413,74.37384421784748,136.37194213852945,151.05814847705003,0.5076475849354996,151.05814847705003
B,0,2,8.186567481375596,119.85042665817863,303.06442301448004,75.06811947210554,140.91005041303987,155.86344394796248,0.5183725088406989,155.86344394796248
B,0,2,8.434645283841522,120.09632829752289,303.09720989972595,76.1358246471573,143.93760155023674,159.28634008595947,0.5220191222544863,159.28634008595947
B,0,2,8.68272308630745,120.34222993686716,303.12999678497187,77.59723597822118,144.68465783676942,160.66338926628734,0.5170197993918224,160.66338926628734
B,0,2,8.930800888773376,120.58813157621141,303.1627836702178,78.84902623967994,145.49621291394976,162.04043844661513,0.5133990811456791,162.04043844661513
B,0,2,9.178878691239305,120.83403321555568,303.19557055546363,79.89119543153407,146.37226678177785,163.4174876269432,0.5111221167840171,163.4174876269432
B,0,2,9.426956493705232,121.07993485489993,303.22835744070954,81.2650338191941,147.68732001651858,165.21246480065906,0.5081180229515593,165.21246480065906
B,0,2,9.675034296171159,121.3258364942442,303.26114432595546,83.54243571447535,149.87648792133703,167.88585881048093,0.5023855117613999,167.88585881048093
B,0,2,9.923112098637086,121.57173813358847,303.29393121120137,85.59409184248963,152.17852870978896,170.5753775179647,0.49820370860105523,170.5753775179647
B,0,2,10.171189901103013,121.81763977293272,303.3267180964473,87.42000220323683,154.5934423818742,173.28102092311025,0.4955015746241039,173.28102092311025
